Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),HeartRate (bpm),BloodOxygen (Sp02),BodyTemp (Celcius)
136,1620317742186,42.0,96.0,26.0
137,1620317742186,42.0,96.0,26.0
138,1620317742186,42.0,96.0,26.0
139,1620317742186,42.0,96.0,26.0
140,1620317742186,42.0,96.0,26.0
141,1620317742186,42.0,96.0,26.0
142,1620317742186,42.0,96.0,26.0
143,1620317742186,42.0,96.0,26.0
144,1620317742186,42.0,96.0,26.0
145,1620317742186,42.0,96.0,26.0
146,1620317742186,42.0,96.0,26.0
147,1620317742186,42.0,96.0,26.0
148,1620317742186,42.0,96.0,26.0
149,1620317742186,42.0,96.0,26.0
150,1620317742186,42.0,96.0,26.0
151,1620317742186,42.0,96.0,26.0
152,1620317742186,42.0,96.0,26.0
153,1620317742186,42.0,96.0,26.0
154,1620317742186,42.0,96.0,26.0
155,1620317742186,42.0,96.0,26.0
156,1620317742187,42.0,96.0,26.0
157,1620317742187,42.0,96.0,26.0
158,1620317742187,42.0,96.0,26.0
159,1620317742187,42.0,96.0,26.0
160,1620317742187,42.0,96.0,26.0
161,1620317742187,42.0,96.0,26.0
162,1620317742187,42.0,96.0,26.0
163,1620317742187,42.0,96.0,26.0
164,1620317742187,42.0,96.0,26.0
165,1620317742187,42.0,96.0,26.0
166,1620317742187,42.0,96.0,26.0
167,1620317742187,42.0,96.0,26.0
168,1620317742187,42.0,96.0,26.0
169,1620317742187,42.0,96.0,26.0
170,1620317742187,42.0,96.0,26.0
171,1620317742187,42.0,96.0,26.0
172,1620317742187,42.0,96.0,26.0
173,1620317742187,42.0,96.0,26.0
174,1620317742187,42.0,96.0,26.0
175,1620317742187,42.0,96.0,26.0
176,1620317742187,42.0,96.0,26.0
177,1620317742187,42.0,96.0,26.0
178,1620317742187,42.0,96.0,26.0
179,1620317742187,42.0,96.0,26.0
180,1620317742187,42.0,96.0,26.0
181,1620317742187,42.0,96.0,26.0
182,1620317742187,42.0,96.0,26.0
183,1620317742187,42.0,96.0,26.0
184,1620317742187,42.0,96.0,26.0
185,1620317742187,42.0,96.0,26.0
186,1620317742188,42.0,96.0,26.0
187,1620317742188,42.0,96.0,26.0
188,1620317742188,42.0,96.0,26.0
189,1620317742188,42.0,96.0,26.0
190,1620317742188,42.0,96.0,26.0
191,1620317742188,42.0,96.0,26.0
192,1620317742188,42.0,96.0,26.0
193,1620317742188,42.0,96.0,26.0
194,1620317742188,42.0,96.0,26.0
195,1620317742188,42.0,96.0,26.0
196,1620317742188,42.0,96.0,26.0
197,1620317742188,42.0,96.0,26.0
198,1620317742188,42.0,96.0,26.0
199,1620317742188,42.0,96.0,26.0
200,1620317742188,42.0,96.0,26.0
201,1620317742188,42.0,96.0,26.0
202,1620317742188,42.0,96.0,26.0
203,1620317742188,42.0,96.0,26.0
204,1620317742188,42.0,96.0,26.0
205,1620317742188,42.0,96.0,26.0
206,1620317742188,42.0,96.0,26.0
207,1620317742188,42.0,96.0,26.0
208,1620317742188,42.0,96.0,26.0
209,1620317742188,42.0,96.0,26.0
210,1620317742188,42.0,96.0,26.0
211,1620317742188,42.0,96.0,26.0
212,1620317742188,42.0,96.0,26.0
213,1620317742188,42.0,96.0,26.0
214,1620317742188,42.0,96.0,26.0
215,1620317742188,42.0,96.0,26.0
216,1620317742188,42.0,96.0,26.0
217,1620317742189,42.0,96.0,26.0
218,1620317742189,42.0,96.0,26.0
219,1620317742189,42.0,96.0,26.0
220,1620317742189,42.0,96.0,26.0
221,1620317742189,42.0,96.0,26.0
222,1620317742189,42.0,96.0,26.0
223,1620317742189,42.0,96.0,26.0
224,1620317742189,42.0,96.0,26.0
225,1620317742189,42.0,96.0,26.0
226,1620317742189,42.0,96.0,26.0
227,1620317742189,42.0,96.0,26.0
228,1620317742189,42.0,96.0,26.0
229,1620317742189,42.0,96.0,26.0
230,1620317742189,42.0,96.0,26.0
231,1620317742189,42.0,96.0,26.0
232,1620317742189,42.0,96.0,26.0
233,1620317742189,42.0,96.0,26.0
234,1620317742189,42.0,96.0,26.0
235,1620317742189,42.0,96.0,26.0
236,1620317742189,42.0,96.0,26.0
237,1620317742189,42.0,96.0,26.0
238,1620317742189,42.0,96.0,26.0
239,1620317742189,42.0,96.0,26.0
240,1620317742189,42.0,96.0,26.0
241,1620317742189,42.0,96.0,26.0
242,1620317742189,42.0,96.0,26.0
243,1620317742189,42.0,96.0,26.0
244,1620317742189,42.0,96.0,26.0
245,1620317742189,42.0,96.0,26.0
246,1620317742189,42.0,96.0,26.0
247,1620317742189,42.0,96.0,26.0
248,1620317742189,42.0,96.0,26.0
249,1620317742189,42.0,96.0,26.0
250,1620317742189,42.0,96.0,26.0
251,1620317742190,42.0,96.0,26.0
252,1620317742190,42.0,96.0,26.0
253,1620317742190,42.0,96.0,26.0
254,1620317742190,42.0,96.0,26.0
255,1620317742190,42.0,96.0,26.0
256,1620317742190,42.0,96.0,26.0
257,1620317742190,42.0,96.0,26.0
258,1620317742190,42.0,96.0,26.0
259,1620317742190,42.0,96.0,26.0
260,1620317742190,42.0,96.0,26.0
261,1620317742190,42.0,96.0,26.0
262,1620317742190,42.0,96.0,26.0
263,1620317742190,42.0,96.0,26.0
264,1620317742190,42.0,96.0,26.0
265,1620317742190,42.0,96.0,26.0
266,1620317742190,42.0,96.0,26.0
267,1620317742190,42.0,96.0,26.0
268,1620317742190,42.0,96.0,26.0
269,1620317742190,42.0,96.0,26.0
270,1620317742190,42.0,96.0,26.0
271,1620317742190,42.0,96.0,26.0
272,1620317742190,42.0,96.0,26.0
273,1620317742190,42.0,96.0,26.0
274,1620317742190,42.0,96.0,26.0
275,1620317742190,42.0,96.0,26.0
276,1620317742190,42.0,96.0,26.0
